w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc,acceptance,acceptance_no_wt,luminosity_had,q_had,elec_cs,lumi_elec,q_elec,no_of_sec_45nA,no_year_45nA
1.4249999999999998,2.2,13828,4.00253,171,0.04036,0.00016,1.86375,1.38479,1.40808,2.5809,2.62431,0.02845,0.02893,0.02055,0.010083622109016047,0.012366213479895864,7.684971411352613e+34,5.803920709427243e-08,0.0002894511136823836,6.85232903865213e+38,0.0005175475104722152,11501.05578827145,0.0003646960866397593
1.4249999999999998,2.7,20783,2.60804,440,0.05357,0.0001,1.30167,1.31678,1.30626,1.71401,1.70032,0.01554,0.01541,0.0118,0.020540329136056197,0.0211711494971852,5.680796680568855e+34,4.2903078925827766e-08,0.00012548910166963384,7.759193578495426e+38,0.0005860418110646092,13023.151356991315,0.00041296142050327607
1.4249999999999998,3.25,17266,0.96232,513,0.03411,6e-05,0.90355,1.25573,1.21703,1.13462,1.09965,0.01115,0.01081,0.00888,0.035445589824590576,0.029711571875361983,4.9729873386384275e+34,3.7557490662626894e-08,5.573497046218e-05,1.0123717384931104e+39,0.0007646312224268204,16991.80494281823,0.000538806600165469
1.4249999999999998,3.85,24330,0.63701,949,0.02586,4e-05,0.64668,1.20075,1.13847,0.7765,0.73623,0.00653,0.00619,0.00544,0.04059590901241739,0.039005343197698314,6.3446294849327375e+34,4.791654319864615e-08,2.6182079736950266e-05,1.8816705336426912e+39,0.001421201309397803,31582.251319951178,0.0010014666197346264
1.4249999999999998,4.6,27598,0.32043,1147,0.01417,3e-05,0.45258,1.14412,1.05938,0.51781,0.47946,0.00409,0.00378,0.00357,0.04422182692007615,0.04156098267990434,8.734194962043403e+34,6.596325777542031e-08,1.1610623958257845e-05,3.8952717007762876e+39,0.002942048112368797,65378.84694152883,0.0020731496366542626
1.4249999999999998,5.5,35043,0.1735,1686,0.00932,2e-05,0.30971,1.0887,0.9838,0.33719,0.3047,0.00238,0.00215,0.00218,0.05371757925072047,0.04811231915075764,1.104177456527547e+35,8.339079046352593e-08,4.951060126130753e-06,7.519957081545062e+39,0.0056797258924056356,126216.13094234746,0.004002287257177431
1.4249999999999998,6.5,34574,0.07523,1872,0.0046,1e-05,0.21471,1.03836,0.91677,0.22295,0.19684,0.00158,0.00139,0.00152,0.06114581948690681,0.05414473303638572,1.4670865957467554e+35,1.1079877620623482e-07,2.175912535431249e-06,1.5032173913043477e+40,0.011353605674504136,252302.34832231412,0.008000454982315898
1.4249999999999998,7.5,35171,0.03684,1890,0.00236,1e-05,0.15434,0.99647,0.8622,0.15379,0.13307,0.00107,0.00093,0.00108,0.06406080347448426,0.05373745415256888,2.030063006895822e+35,1.5331644187718614e-07,1.0474538682437234e-06,2.9805932203389833e+40,0.022512033386246095,500267.4085832466,0.015863375462431717
1.4249999999999998,8.5,35101,0.01919,1803,0.0012,0.0,0.11519,0.96082,0.81663,0.11067,0.09406,0.00078,0.00066,0.00081,0.06253256904637831,0.051366057947067036,2.889973193578507e+35,2.182594361134738e-07,5.467080709951283e-07,5.850166666666668e+40,0.044185548841893255,981901.0853754056,0.031135879165886785
1.4249999999999998,9.5,34946,0.01079,1459,0.00063,0.0,0.08987,0.92994,0.77782,0.08357,0.0699,0.00058,0.00049,0.00063,0.058387395736793336,0.041750128770102445,4.098835497662827e+35,3.0955633997906705e-07,3.087620900818405e-07,1.1093968253968253e+41,0.0837913010118448,1862028.911374329,0.0590445494474356
1.4249999999999998,10.5,35301,0.0064,1063,0.00043,0.0,0.07079,0.90281,0.74424,0.06391,0.05269,0.00045,0.00037,0.00049,0.0671875,0.03011246140335968,4.6577126991808976e+35,3.517644210543688e-07,1.8129798022718905e-07,1.6419069767441859e+41,0.12401110096255179,2755802.243612262,0.08738591589333657
1.475,2.2,14026,6.89336,191,0.09519,0.00017,2.87765,1.38479,1.40808,3.98494,4.05197,0.04247,0.04319,0.03067,0.013808940777791961,0.013617567374875232,3.6345265178149383e+34,2.7449033440185318e-08,0.0004914701269071724,2.9469482088454668e+38,0.00022257916985237661,4946.203774497259,0.0001568430927986193
1.475,2.7,20936,4.59261,574,0.13655,0.00011,2.05808,1.31678,1.30626,2.71003,2.68839,0.02404,0.02385,0.01826,0.029732548594372268,0.027416889568207873,2.482125634129233e+34,1.8745756620566668e-08,0.00021936425296140618,3.066422555840351e+38,0.00023160291207253403,5146.731379389646,0.00016320178143675943
1.475,3.25,17754,1.74542,668,0.07543,7e-05,1.43506,1.25573,1.21703,1.80204,1.7465,0.01709,0.01657,0.01361,0.04321595948253142,0.03762532387067703,2.568156048566614e+34,1.939548409158382e-08,9.83113664526304e-05,4.707410844491581e+38,0.00035554462571688673,7900.991682597483,0.00025053880272062035
1.475,3.85,24585,1.16819,1172,0.05844,5e-05,1.05263,1.20075,1.13847,1.26395,1.19839,0.01035,0.00981,0.00862,0.05002610876655338,0.047671344315639616,3.1630304907431556e+34,2.3888154148048903e-08,4.751637177140533e-05,8.413757700205338e+38,0.0006354801888372612,14121.781974161358,0.00044779876884073306
1.475,4.6,27971,0.58805,1493,0.03377,3e-05,0.73219,1.14412,1.05938,0.83771,0.77566,0.00642,0.00595,0.00561,0.05742708953320297,0.05337671159415108,4.157377770574939e+34,3.139776278660931e-08,2.1023560115834256e-05,1.6565590761030497e+39,0.0012511775499267745,27803.945553928323,0.0008816573298429833
1.475,5.5,34848,0.32051,2059,0.02074,2e-05,0.51213,1.0887,0.9838,0.55755,0.50383,0.00385,0.00348,0.00354,0.06470936944245109,0.05908516988062443,5.5434356138800185e+34,4.186568698648152e-08,9.197371441689623e-06,3.36046287367406e+39,0.002538113952926027,56402.53228724504,0.0017885125661861062
1.475,6.5,35043,0.14297,2247,0.01023,1e-05,0.35718,1.03836,0.91677,0.37088,0.32745,0.00255,0.00225,0.00245,0.07155347275652234,0.0641212224980738,7.536433386721456e+34,5.69174034190881e-08,4.07984476214936e-06,6.851026392961877e+39,0.005174491233354892,114988.69407455315,0.003646267569588824
1.475,7.5,34982,0.07013,2200,0.00498,1e-05,0.26133,0.99647,0.8622,0.26041,0.22532,0.00179,0.00155,0.0018,0.07101097960929702,0.06288948602138243,1.0815505792610943e+35,8.168194088521216e-08,2.0047452975816134e-06,1.4048995983935743e+40,0.010611024157051164,235800.5368233592,0.007477185972328742
1.475,8.5,35019,0.03728,1896,0.00214,1e-05,0.19799,0.96082,0.81663,0.19024,0.16169,0.00131,0.00111,0.00136,0.05740343347639485,0.05414203717981667,1.8314298515205586e+35,1.3831507072883908e-07,1.064564950455467e-06,3.2728037383177566e+40,0.024719061467656768,549312.4770590393,0.01741858438162859
1.475,9.5,34968,0.02092,1635,0.00105,0.0,0.15343,0.92994,0.77782,0.14268,0.11934,0.00098,0.00082,0.00106,0.050191204588910125,0.04675703500343171,2.7927964008704127e+35,2.1092035351336096e-07,5.982612674445207e-07,6.660571428571429e+40,0.050306430729391456,1117920.6828753657,0.035449032308325905
1.475,10.5,34809,0.01237,1258,0.00058,0.0,0.12206,0.90281,0.74424,0.1102,0.09084,0.00076,0.00063,0.00084,0.04688763136620857,0.03614007871527478,3.870705300707178e+35,2.923272638552358e-07,3.5536786463270997e-07,1.2003103448275861e+41,0.09065788102927387,2014619.5784283082,0.06388316775838115
1.525,2.2,14082,9.19718,272,0.18826,0.00019,3.51867,1.38479,1.40808,4.87261,4.95457,0.05189,0.05277,0.03747,0.020469317769142282,0.019315438147990343,2.0052336104928885e+34,1.514412514532806e-08,0.0006531160346541685,1.4960161478805905e+38,0.00011299215618433461,2510.9368040963245,7.96212837422731e-05
