w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.4249999999999998,2.2,13828,4.00253,171,0.04036,0.00016,1.86375,1.38479,1.40808,2.5809,2.62431,0.02845,0.02893,0.02055
1.4249999999999998,2.7,20783,2.60804,440,0.05357,0.0001,1.30167,1.31678,1.30626,1.71401,1.70032,0.01554,0.01541,0.0118
1.4249999999999998,3.25,17266,0.96232,513,0.03411,6e-05,0.90355,1.25573,1.21703,1.13462,1.09965,0.01115,0.01081,0.00888
1.4249999999999998,3.85,24330,0.63701,949,0.02586,4e-05,0.64668,1.20075,1.13847,0.7765,0.73623,0.00653,0.00619,0.00544
1.4249999999999998,4.6,27598,0.32043,1147,0.01417,3e-05,0.45258,1.14412,1.05938,0.51781,0.47946,0.00409,0.00378,0.00357
1.4249999999999998,5.5,35043,0.1735,1686,0.00932,2e-05,0.30971,1.0887,0.9838,0.33719,0.3047,0.00238,0.00215,0.00218
1.4249999999999998,6.5,34574,0.07523,1872,0.0046,1e-05,0.21471,1.03836,0.91677,0.22295,0.19684,0.00158,0.00139,0.00152
1.4249999999999998,7.5,35171,0.03684,1890,0.00236,1e-05,0.15434,0.99647,0.8622,0.15379,0.13307,0.00107,0.00093,0.00108
1.4249999999999998,8.5,35101,0.01919,1803,0.0012,0.0,0.11519,0.96082,0.81663,0.11067,0.09406,0.00078,0.00066,0.00081
1.4249999999999998,9.5,34946,0.01079,1459,0.00063,0.0,0.08987,0.92994,0.77782,0.08357,0.0699,0.00058,0.00049,0.00063
1.4249999999999998,10.5,35301,0.0064,1063,0.00043,0.0,0.07079,0.90281,0.74424,0.06391,0.05269,0.00045,0.00037,0.00049
1.475,2.2,14026,6.89336,191,0.09519,0.00017,2.87765,1.38479,1.40808,3.98494,4.05197,0.04247,0.04319,0.03067
1.475,2.7,20936,4.59261,574,0.13655,0.00011,2.05808,1.31678,1.30626,2.71003,2.68839,0.02404,0.02385,0.01826
1.475,3.25,17754,1.74542,668,0.07543,7e-05,1.43506,1.25573,1.21703,1.80204,1.7465,0.01709,0.01657,0.01361
1.475,3.85,24585,1.16819,1172,0.05844,5e-05,1.05263,1.20075,1.13847,1.26395,1.19839,0.01035,0.00981,0.00862
1.475,4.6,27971,0.58805,1493,0.03377,3e-05,0.73219,1.14412,1.05938,0.83771,0.77566,0.00642,0.00595,0.00561
1.475,5.5,34848,0.32051,2059,0.02074,2e-05,0.51213,1.0887,0.9838,0.55755,0.50383,0.00385,0.00348,0.00354
1.475,6.5,35043,0.14297,2247,0.01023,1e-05,0.35718,1.03836,0.91677,0.37088,0.32745,0.00255,0.00225,0.00245
1.475,7.5,34982,0.07013,2200,0.00498,1e-05,0.26133,0.99647,0.8622,0.26041,0.22532,0.00179,0.00155,0.0018
1.475,8.5,35019,0.03728,1896,0.00214,1e-05,0.19799,0.96082,0.81663,0.19024,0.16169,0.00131,0.00111,0.00136
1.475,9.5,34968,0.02092,1635,0.00105,0.0,0.15343,0.92994,0.77782,0.14268,0.11934,0.00098,0.00082,0.00106
1.475,10.5,34809,0.01237,1258,0.00058,0.0,0.12206,0.90281,0.74424,0.1102,0.09084,0.00076,0.00063,0.00084
1.525,2.2,14082,9.19718,272,0.18826,0.00019,3.51867,1.38479,1.40808,4.87261,4.95457,0.05189,0.05277,0.03747
1.525,2.7,21374,6.32539,685,0.22167,0.00012,2.54073,1.31678,1.30626,3.34557,3.31885,0.02946,0.02923,0.02238
1.525,3.25,17650,2.3684,772,0.11282,8e-05,1.78412,1.25573,1.21703,2.24037,2.17133,0.02134,0.02068,0.017
1.525,3.85,24276,1.57282,1274,0.09441,5e-05,1.30212,1.20075,1.13847,1.56352,1.48242,0.01283,0.01217,0.01069
1.525,4.6,28346,0.82728,1754,0.05561,3e-05,0.91848,1.14412,1.05938,1.05086,0.97302,0.00799,0.0074,0.00699
1.525,5.5,34797,0.44914,2379,0.03243,2e-05,0.64701,1.0887,0.9838,0.70439,0.63653,0.00484,0.00438,0.00445
1.525,6.5,35018,0.2002,2454,0.01511,1e-05,0.44906,1.03836,0.91677,0.46629,0.41169,0.00318,0.00281,0.00307
1.525,7.5,35130,0.09889,2366,0.00697,1e-05,0.32828,0.99647,0.8622,0.32713,0.28305,0.00223,0.00193,0.00223
1.525,8.5,34905,0.05251,2157,0.00328,1e-05,0.24973,0.96082,0.81663,0.23995,0.20394,0.00163,0.00138,0.0017
1.525,9.5,35148,0.03007,1815,0.00154,0.0,0.1954,0.92994,0.77782,0.18171,0.15198,0.00122,0.00102,0.00132
1.525,10.5,34984,0.01793,1389,0.00078,0.0,0.15645,0.90281,0.74424,0.14124,0.11644,0.00095,0.00079,0.00106
1.5750000000000002,2.2,13908,9.76561,317,0.2405,0.0002,3.51622,1.38479,1.40808,4.86923,4.95113,0.05287,0.05376,0.03818
1.5750000000000002,2.7,20749,6.5929,786,0.28606,0.00013,2.52151,1.31678,1.30626,3.32026,3.29374,0.03002,0.02978,0.0228
1.5750000000000002,3.25,17289,2.49865,869,0.14202,8e-05,1.76774,1.25573,1.21703,2.2198,2.15139,0.02166,0.02099,0.01725
1.5750000000000002,3.85,24675,1.71609,1446,0.11601,5e-05,1.28065,1.20075,1.13847,1.53774,1.45798,0.01267,0.01201,0.01055
1.5750000000000002,4.6,27922,0.89394,1832,0.06672,3e-05,0.91941,1.14412,1.05938,1.05192,0.974,0.00816,0.00755,0.00713
1.5750000000000002,5.5,34694,0.48597,2565,0.0411,2e-05,0.63825,1.0887,0.9838,0.69486,0.62791,0.00484,0.00437,0.00445
1.5750000000000002,6.5,34978,0.22004,2653,0.01899,1e-05,0.44761,1.03836,0.91677,0.46478,0.41036,0.00321,0.00283,0.00309
1.5750000000000002,7.5,35410,0.10999,2585,0.0086,1e-05,0.32719,0.99647,0.8622,0.32604,0.28211,0.00224,0.00194,0.00224
1.5750000000000002,8.5,34602,0.05758,2334,0.00426,1e-05,0.24889,0.96082,0.81663,0.23914,0.20325,0.00165,0.0014,0.00172
1.5750000000000002,9.5,34923,0.03295,2028,0.00218,0.0,0.19369,0.92994,0.77782,0.18012,0.15065,0.00123,0.00103,0.00133
