w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.4249999999999998,2.25,71112,0.00015,0.00197,0.00019,1.37731,1.39677,0.00026,0.00026,0.00000,0.00000,0.00000
1.4249999999999998,2.75,71017,0.00009,0.00086,0.00013,1.31071,1.29729,0.00017,0.00017,0.00000,0.00000,0.00000
1.4249999999999998,3.25,71471,0.00006,0.00042,0.00010,1.25573,1.21703,0.00012,0.00012,0.00000,0.00000,0.00000
1.4249999999999998,3.75,70915,0.00004,0.00022,0.00007,1.20923,1.15047,0.00009,0.00008,0.00000,0.00000,0.00000
1.4249999999999998,4.25,71388,0.00003,0.00013,0.00006,1.16914,1.09409,0.00007,0.00006,0.00000,0.00000,0.00000
1.4249999999999998,4.75,70925,0.00002,0.00008,0.00005,1.13406,1.04552,0.00005,0.00005,0.00000,0.00000,0.00000
1.4249999999999998,5.25,71068,0.00002,0.00005,0.00004,1.10298,1.00310,0.00004,0.00004,0.00000,0.00000,0.00000
1.4249999999999998,5.75,71349,0.00001,0.00003,0.00003,1.07516,0.96562,0.00003,0.00003,0.00000,0.00000,0.00000
1.4249999999999998,6.25,70876,0.00001,0.00002,0.00003,1.05004,0.93219,0.00003,0.00002,0.00000,0.00000,0.00000
1.4249999999999998,6.75,71135,0.00001,0.00001,0.00002,1.02720,0.90213,0.00002,0.00002,0.00000,0.00000,0.00000
1.4249999999999998,7.25,71124,0.00001,0.00001,0.00002,1.00629,0.87489,0.00002,0.00002,0.00000,0.00000,0.00000
1.4249999999999998,7.75,71157,0.00001,0.00001,0.00002,0.98704,0.85007,0.00002,0.00001,0.00000,0.00000,0.00000
1.4249999999999998,8.25,71244,0.00001,0.00001,0.00001,0.96924,0.82732,0.00001,0.00001,0.00000,0.00000,0.00000
1.4249999999999998,8.75,70697,0.00000,0.00000,0.00001,0.95270,0.80637,0.00001,0.00001,0.00000,0.00000,0.00000
1.4249999999999998,9.25,71059,0.00000,0.00000,0.00001,0.93728,0.78699,0.00001,0.00001,0.00000,0.00000,0.00000
1.4249999999999998,9.75,71017,0.00000,0.00000,0.00001,0.92284,0.76899,0.00001,0.00001,0.00000,0.00000,0.00000
1.4249999999999998,10.25,70845,0.00000,0.00000,0.00001,0.90929,0.75221,0.00001,0.00001,0.00000,0.00000,0.00000
1.4249999999999998,10.75,70611,0.00000,0.00000,0.00001,0.89652,0.73653,0.00001,0.00001,0.00000,0.00000,0.00000
1.475,2.25,71496,0.00016,0.00343,0.00030,1.37731,1.39677,0.00041,0.00041,0.00000,0.00000,0.00000
1.475,2.75,71474,0.00010,0.00151,0.00021,1.31071,1.29729,0.00027,0.00027,0.00000,0.00000,0.00000
1.475,3.25,71982,0.00007,0.00076,0.00015,1.25573,1.21703,0.00019,0.00019,0.00000,0.00000,0.00000
1.475,3.75,71858,0.00005,0.00041,0.00012,1.20923,1.15047,0.00014,0.00014,0.00000,0.00000,0.00000
1.475,4.25,71761,0.00004,0.00023,0.00009,1.16914,1.09409,0.00011,0.00010,0.00000,0.00000,0.00000
1.475,4.75,71627,0.00003,0.00014,0.00008,1.13406,1.04552,0.00009,0.00008,0.00000,0.00000,0.00000
1.475,5.25,72028,0.00002,0.00009,0.00006,1.10298,1.00310,0.00007,0.00006,0.00000,0.00000,0.00000
1.475,5.75,71931,0.00002,0.00006,0.00005,1.07516,0.96562,0.00006,0.00005,0.00000,0.00000,0.00000
1.475,6.25,71573,0.00001,0.00004,0.00004,1.05004,0.93219,0.00005,0.00004,0.00000,0.00000,0.00000
