w_val_rec,q2_val_rec,rec_events,weight_rec
1.4249999999999998,2.2,171,403.57490
1.4249999999999998,2.7,440,535.67403
1.4249999999999998,3.25,513,341.11865
1.4249999999999998,3.85,949,258.57977
1.4249999999999998,4.6,1147,141.65166
1.4249999999999998,5.5,1686,93.23056
1.4249999999999998,6.5,1872,46.01727
1.4249999999999998,7.5,1890,23.60150
1.4249999999999998,8.5,1803,12.03765
1.4249999999999998,9.5,1459,6.32277
1.4249999999999998,10.5,1063,4.31665
1.475,2.2,191,951.85468
1.475,2.7,574,1365.47814
1.475,3.25,668,754.26461
1.475,3.85,1172,584.37821
1.475,4.6,1493,337.65467
1.475,5.5,2059,207.41838
1.475,6.5,2247,102.33174
1.475,7.5,2200,49.75925
1.475,8.5,1896,21.38822
1.475,9.5,1635,10.51955
1.475,10.5,1258,5.78291
1.525,2.2,272,1882.57245
1.525,2.7,685,2216.69881
1.525,3.25,772,1128.18197
1.525,3.85,1274,944.13261
1.525,4.6,1754,556.10548
1.525,5.5,2379,324.31822
1.525,6.5,2454,151.14481
1.525,7.5,2366,69.71020
1.525,8.5,2157,32.75453
1.525,9.5,1815,15.41457
1.525,10.5,1389,7.78986
1.5750000000000002,2.2,317,2404.97755
1.5750000000000002,2.7,786,2860.59126
1.5750000000000002,3.25,869,1420.16165
1.5750000000000002,3.85,1446,1160.10308
1.5750000000000002,4.6,1832,667.23073
1.5750000000000002,5.5,2565,410.96860
1.5750000000000002,6.5,2653,189.92808
1.5750000000000002,7.5,2585,85.95597
1.5750000000000002,8.5,2334,42.57140
1.5750000000000002,9.5,2028,21.79598
1.5750000000000002,10.5,1412,9.93068
1.625,2.2,371,3421.53551
1.625,2.7,882,3407.98382
1.625,3.25,1039,2016.13109
1.625,3.85,1524,1419.18494
1.625,4.6,2001,829.89089
1.625,5.5,2870,529.16444
1.625,6.5,2917,245.93298
1.625,7.5,2770,113.57670
1.625,8.5,2412,52.01528
1.625,9.5,2043,26.57043
1.625,10.5,1549,12.86812
1.6749999999999998,2.2,405,4419.41726
1.6749999999999998,2.7,1019,5018.12789
1.6749999999999998,3.25,1130,2606.18798
1.6749999999999998,3.85,1723,1942.61618
1.6749999999999998,4.6,2147,1118.98564
1.6749999999999998,5.5,2930,692.50833
1.6749999999999998,6.5,2979,318.99643
1.6749999999999998,7.5,2867,153.15480
1.6749999999999998,8.5,2537,71.94492
1.6749999999999998,9.5,2071,33.04960
1.6749999999999998,10.5,1642,16.32614
1.725,2.2,502,5861.19896
1.725,2.7,1077,6393.63276
1.725,3.25,1168,3171.57744
1.725,3.85,1904,2625.07867
1.725,4.6,2307,1415.82205
1.725,5.5,2991,867.47979
1.725,6.5,3157,415.95567
1.725,7.5,2908,186.15608
1.725,8.5,2626,87.41825
1.725,9.5,2201,42.33466
1.725,10.5,1629,17.73187
1.775,2.2,525,6073.84017
1.775,2.7,1165,6500.82855
1.775,3.25,1190,3256.20752
1.775,3.85,1911,2552.17232
1.775,4.6,2375,1484.82804
1.775,5.5,3318,931.37942
1.775,6.5,3315,432.39063
1.775,7.5,3025,202.74995
1.775,8.5,2746,95.33906
1.775,9.5,2201,43.32613
1.775,10.5,1675,21.07663
1.8250000000000002,2.2,510,5841.64202
1.8250000000000002,2.7,1181,6603.49900
1.8250000000000002,3.25,1244,3337.51093
1.8250000000000002,3.85,2057,2787.71317
1.8250000000000002,4.6,2556,1586.32087
1.8250000000000002,5.5,3408,975.67130
1.8250000000000002,6.5,3258,441.42468
1.8250000000000002,7.5,3146,219.22032
1.8250000000000002,8.5,2724,102.99041
1.8250000000000002,9.5,2282,50.05462
1.8250000000000002,10.5,1657,21.06035
1.875,2.2,538,6561.22650
1.875,2.7,1227,7674.21693
1.875,3.25,1276,3775.33197
1.875,3.85,2047,3093.73912
1.875,4.6,2533,1746.40752
1.875,5.5,3389,1093.15581
1.875,6.5,3364,492.48027
1.875,7.5,3244,246.70165
1.875,8.5,2699,110.99755
1.875,9.5,2170,49.32832
1.875,10.5,1605,21.47971
1.9249999999999998,2.2,591,7066.65875
1.9249999999999998,2.7,1359,8103.70454
1.9249999999999998,3.25,1336,4037.11446
1.9249999999999998,3.85,2154,3182.63225
1.9249999999999998,4.6,2680,1936.76236
1.9249999999999998,5.5,3456,1132.41394
1.9249999999999998,6.5,3474,537.77847
1.9249999999999998,7.5,3133,246.42301
1.9249999999999998,8.5,2827,119.41644
1.9249999999999998,9.5,2186,51.38297
1.9249999999999998,10.5,1571,22.09761
1.975,2.2,565,6578.67365
1.975,2.7,1331,8245.95159
1.975,3.25,1421,4069.99799
1.975,3.85,2189,3256.70651
1.975,4.6,2619,1886.72715
1.975,5.5,3555,1185.17455
1.975,6.5,3341,536.01665
1.975,7.5,3102,243.98172
1.975,8.5,2766,127.03453
1.975,9.5,2144,52.15310
1.975,10.5,1595,23.01257
2.025,2.2,631,7369.49762
