w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
1.4249999999999998,3.85,99427,2.83176,332,0.01604,5e-05,0.62469,1.20075,0.75009
1.4249999999999998,4.6,113801,1.46519,1518,0.03066,3e-05,0.43868,1.14412,0.50191
1.4249999999999998,5.5,142417,0.80015,3979,0.03392,2e-05,0.30171,1.0887,0.32847
1.4249999999999998,6.5,142011,0.35778,6248,0.02289,1e-05,0.20948,1.03836,0.21752
1.4249999999999998,7.5,142281,0.17949,7740,0.01233,1e-05,0.15399,0.99647,0.15345
1.4249999999999998,8.5,141941,0.09601,9363,0.00712,1e-05,0.11636,0.96082,0.1118
1.4249999999999998,10.0,283532,0.08836,22543,0.00768,0.0,0.08457,0.91596,0.07746
1.4249999999999998,12.0,283453,0.03454,25304,0.00377,0.0,0.05593,0.86759,0.04852
1.4249999999999998,14.0,284534,0.01551,23998,0.00163,0.0,0.03947,0.82833,0.03269
1.4249999999999998,16.5,425762,0.01001,29360,0.00098,0.0,0.02798,0.78815,0.02205
1.4249999999999998,19.5,426040,0.00406,21396,0.00034,0.0,0.01903,0.74904,0.01426
1.4249999999999998,23.0,571788,0.00226,15938,0.00013,0.0,0.01327,0.71209,0.00945
1.4249999999999998,27.5,714604,0.00109,6062,4e-05,0.0,0.00903,0.67395,0.00608
1.475,3.25,71982,7.56436,1,0.0,8e-05,1.3753,1.25573,1.72701
1.475,3.85,100378,5.17226,395,0.02281,5e-05,1.0102,1.20075,1.213
1.475,4.6,114868,2.68788,1713,0.04544,3e-05,0.70997,1.14412,0.81229
1.475,5.5,143959,1.49763,4509,0.05611,2e-05,0.49572,1.0887,0.53969
1.475,6.5,143060,0.67743,6967,0.03631,1e-05,0.3483,1.03836,0.36166
1.475,7.5,143492,0.34246,8651,0.01943,1e-05,0.25707,0.99647,0.25617
1.475,8.5,143486,0.18673,10552,0.0119,1e-05,0.19715,0.96082,0.18942
1.475,10.0,286181,0.17278,24982,0.01294,0.0,0.14392,0.91596,0.13182
1.475,12.0,287151,0.06874,27519,0.00602,0.0,0.09626,0.86759,0.08351
1.475,14.0,286444,0.03101,26201,0.00261,0.0,0.06854,0.82833,0.05677
1.475,16.5,431459,0.02036,32348,0.00152,0.0,0.04902,0.78815,0.03863
1.475,19.5,430180,0.00837,23766,0.00051,0.0,0.03381,0.74904,0.02532
1.475,23.0,573580,0.00471,18451,0.00019,0.0,0.02393,0.71209,0.01704
1.475,27.5,716681,0.00231,7507,5e-05,0.0,0.01648,0.67395,0.01111
1.525,3.85,99915,7.03346,460,0.02736,6e-05,1.24763,1.20075,1.49809
1.525,4.6,114585,3.70364,2004,0.06544,4e-05,0.88317,1.14412,1.01045
1.525,5.5,143265,2.07885,5052,0.07591,2e-05,0.62045,1.0887,0.67548
1.525,6.5,143361,0.95619,7670,0.05006,2e-05,0.43884,1.03836,0.45567
1.525,7.5,143560,0.48319,9438,0.02843,1e-05,0.32347,0.99647,0.32233
