w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,cs_scaled
1.4249999999999998,2.2,57010,0.00017,17.01572,1.77057,1.38479,2.45187
1.4249999999999998,2.7,85119,0.00011,11.32335,1.25688,1.31678,1.65504
1.4249999999999998,3.25,71471,0.00007,4.22624,0.86251,1.25573,1.08308
1.4249999999999998,3.85,99427,0.00005,2.83176,0.62469,1.20075,0.75009
1.4249999999999998,4.6,113801,0.00003,1.46519,0.43868,1.14412,0.50191
1.4249999999999998,5.5,142417,0.00002,0.80015,0.30171,1.08870,0.32847
1.4249999999999998,6.5,142011,0.00001,0.35778,0.20948,1.03836,0.21752
1.4249999999999998,7.5,142281,0.00001,0.17949,0.15399,0.99647,0.15345
1.4249999999999998,8.5,141941,0.00001,0.09601,0.11636,0.96082,0.11180
1.4249999999999998,10.0,283532,0.00000,0.08836,0.08457,0.91596,0.07746
1.4249999999999998,12.0,283453,0.00000,0.03454,0.05593,0.86759,0.04852
1.4249999999999998,14.0,284534,0.00000,0.01551,0.03947,0.82833,0.03269
1.4249999999999998,16.5,425762,0.00000,0.01001,0.02798,0.78815,0.02205
1.4249999999999998,19.5,426040,0.00000,0.00406,0.01903,0.74904,0.01426
1.4249999999999998,23.0,571788,0.00000,0.00226,0.01327,0.71209,0.00945
1.4249999999999998,27.5,714604,0.00000,0.00109,0.00903,0.67395,0.00608
1.475,2.2,57267,0.00019,29.67307,2.78501,1.38479,3.85666
1.475,2.7,85703,0.00012,19.77147,1.96443,1.31678,2.58672
1.475,3.25,71982,0.00008,7.56436,1.37530,1.25573,1.72701
1.475,3.85,100378,0.00005,5.17226,1.01020,1.20075,1.21300
1.475,4.6,114868,0.00003,2.68788,0.70997,1.14412,0.81229
1.475,5.5,143959,0.00002,1.49763,0.49572,1.08870,0.53969
1.475,6.5,143060,0.00001,0.67743,0.34830,1.03836,0.36166
1.475,7.5,143492,0.00001,0.34246,0.25707,0.99647,0.25617
