w_val_rec,q2_val_rec,rec_events,weight_rec
1.4249999999999998,3.85,332,0.01604
1.4249999999999998,4.6,1518,0.03066
1.4249999999999998,5.5,3979,0.03392
1.4249999999999998,6.5,6248,0.02289
1.4249999999999998,7.5,7740,0.01233
1.4249999999999998,8.5,9363,0.00712
1.4249999999999998,10.0,22543,0.00768
1.4249999999999998,12.0,25304,0.00377
1.4249999999999998,14.0,23998,0.00163
1.4249999999999998,16.5,29360,0.00098
1.4249999999999998,19.5,21396,0.00034
1.4249999999999998,23.0,15938,0.00013
1.4249999999999998,27.5,6062,0.00004
1.475,3.25,1,0.00000
1.475,3.85,395,0.02281
1.475,4.6,1713,0.04544
1.475,5.5,4509,0.05611
1.475,6.5,6967,0.03631
1.475,7.5,8651,0.01943
1.475,8.5,10552,0.01190
1.475,10.0,24982,0.01294
1.475,12.0,27519,0.00602
1.475,14.0,26201,0.00261
1.475,16.5,32348,0.00152
1.475,19.5,23766,0.00051
1.475,23.0,18451,0.00019
1.475,27.5,7507,0.00005
1.525,3.85,460,0.02736
1.525,4.6,2004,0.06544
1.525,5.5,5052,0.07591
1.525,6.5,7670,0.05006
1.525,7.5,9438,0.02843
1.525,8.5,11364,0.01746
1.525,10.0,26845,0.01875
1.525,12.0,28593,0.00852
1.525,14.0,27550,0.00377
1.525,16.5,34192,0.00214
1.525,19.5,25551,0.00071
1.525,23.0,20040,0.00027
1.525,27.5,8410,0.00007
1.5750000000000002,3.85,563,0.04310
1.5750000000000002,4.6,2207,0.08654
1.5750000000000002,5.5,5333,0.09691
1.5750000000000002,6.5,8072,0.06421
1.5750000000000002,7.5,10284,0.03911
1.5750000000000002,8.5,12213,0.02290
1.5750000000000002,10.0,28241,0.02501
1.5750000000000002,12.0,29843,0.01137
1.5750000000000002,14.0,28319,0.00496
1.5750000000000002,16.5,35400,0.00278
1.5750000000000002,19.5,26577,0.00095
1.5750000000000002,23.0,21560,0.00037
1.5750000000000002,27.5,9195,0.00009
1.625,3.85,634,0.05538
1.625,4.6,2432,0.11011
1.625,5.5,5672,0.12244
1.625,6.5,8694,0.08425
1.625,7.5,10664,0.04844
1.625,8.5,12846,0.03080
1.625,10.0,29675,0.03277
1.625,12.0,30534,0.01465
1.625,14.0,28771,0.00641
1.625,16.5,36662,0.00368
1.625,19.5,26968,0.00121
1.625,23.0,22488,0.00047
1.625,27.5,9926,0.00012
1.6749999999999998,3.85,699,0.07005
1.6749999999999998,4.6,2635,0.14182
1.6749999999999998,5.5,6132,0.15615
1.6749999999999998,6.5,9055,0.10765
1.6749999999999998,7.5,11178,0.06209
1.6749999999999998,8.5,13361,0.03945
1.6749999999999998,10.0,30226,0.04220
1.6749999999999998,12.0,30904,0.01917
1.6749999999999998,14.0,29658,0.00835
1.6749999999999998,16.5,36950,0.00469
1.6749999999999998,19.5,27429,0.00153
1.6749999999999998,23.0,22887,0.00061
1.6749999999999998,27.5,10671,0.00014
1.725,3.85,798,0.09067
1.725,4.6,2841,0.16713
1.725,5.5,6294,0.18007
1.725,6.5,9499,0.12732
1.725,7.5,11708,0.07758
1.725,8.5,13732,0.04902
1.725,10.0,30908,0.05312
1.725,12.0,31742,0.02315
1.725,14.0,29866,0.01013
1.725,16.5,37543,0.00570
1.725,19.5,27847,0.00185
1.725,23.0,23297,0.00073
1.725,27.5,11156,0.00017
1.775,3.85,823,0.09640
1.775,4.6,2973,0.18809
1.775,5.5,6439,0.20052
1.775,6.5,9756,0.14192
1.775,7.5,11968,0.08691
1.775,8.5,14032,0.05630
1.775,10.0,31414,0.06059
1.775,12.0,32196,0.02637
1.775,14.0,30166,0.01146
1.775,16.5,37724,0.00647
1.775,19.5,28206,0.00215
1.775,23.0,24060,0.00086
1.775,27.5,11828,0.00019
1.8250000000000002,3.85,838,0.10595
1.8250000000000002,4.6,3285,0.22218
1.8250000000000002,5.5,6938,0.22832
1.8250000000000002,6.5,10097,0.15701
1.8250000000000002,7.5,12239,0.09549
1.8250000000000002,8.5,14485,0.06251
1.8250000000000002,10.0,32154,0.06621
1.8250000000000002,12.0,31739,0.02831
1.8250000000000002,14.0,30149,0.01253
1.8250000000000002,16.5,37698,0.00714
1.8250000000000002,19.5,28236,0.00236
1.8250000000000002,23.0,24286,0.00095
1.8250000000000002,27.5,12046,0.00021
1.875,3.85,891,0.11968
1.875,4.6,3479,0.24648
1.875,5.5,7104,0.24680
1.875,6.5,10194,0.17255
1.875,7.5,12326,0.10556
1.875,8.5,14643,0.06779
1.875,10.0,31945,0.07266
1.875,12.0,32018,0.03073
1.875,14.0,30268,0.01386
1.875,16.5,38085,0.00785
1.875,19.5,28159,0.00255
1.875,23.0,24623,0.00103
1.875,27.5,12376,0.00024
1.9249999999999998,3.85,958,0.12951
1.9249999999999998,4.6,3709,0.27905
1.9249999999999998,5.5,7421,0.27630
1.9249999999999998,6.5,10727,0.19046
1.9249999999999998,7.5,12512,0.11222
1.9249999999999998,8.5,14829,0.07554
1.9249999999999998,10.0,32550,0.08008
1.9249999999999998,12.0,32197,0.03343
1.9249999999999998,14.0,30200,0.01474
1.9249999999999998,16.5,37992,0.00844
1.9249999999999998,19.5,28300,0.00276
1.9249999999999998,23.0,25084,0.00111
1.9249999999999998,27.5,12506,0.00025
1.975,3.85,1008,0.14391
1.975,4.6,3860,0.30953
1.975,5.5,7574,0.28529
1.975,6.5,10877,0.19850
1.975,7.5,12818,0.12218
1.975,8.5,15137,0.07982
1.975,10.0,32377,0.08379
1.975,12.0,32034,0.03495
1.975,14.0,30096,0.01560
1.975,16.5,37711,0.00876
1.975,19.5,28680,0.00297
1.975,23.0,25315,0.00118
1.975,27.5,12764,0.00026
2.025,3.25,1,0.00036
2.025,3.85,1057,0.15389
2.025,4.6,3985,0.31726
2.025,5.5,7955,0.29863
2.025,6.5,10904,0.20196
2.025,7.5,13238,0.12893
2.025,8.5,15161,0.08348
2.025,10.0,32507,0.08604
2.025,12.0,32204,0.03660
2.025,14.0,30106,0.01584
2.025,16.5,37504,0.00895
2.025,19.5,28864,0.00304
2.025,23.0,25563,0.00125
2.025,27.5,12800,0.00028
2.075,3.85,1072,0.15859
2.075,4.6,4139,0.32775
2.075,5.5,7959,0.30520
2.075,6.5,11016,0.20868
2.075,7.5,13251,0.13112
2.075,8.5,15349,0.08517
2.075,10.0,32411,0.08835
2.075,12.0,31887,0.03615
2.075,14.0,29792,0.01598
2.075,16.5,37591,0.00926
2.075,19.5,28797,0.00314
2.075,23.0,25660,0.00127
2.075,27.5,12723,0.00029
2.125,3.25,1,0.00024
2.125,3.85,1145,0.16123
2.125,4.6,4289,0.33475
2.125,5.5,8181,0.31289
2.125,6.5,11272,0.21186
2.125,7.5,13556,0.13432
2.125,8.5,15529,0.08741
2.125,10.0,32422,0.08877
2.125,12.0,32258,0.03653
2.125,14.0,29542,0.01601
2.125,16.5,37490,0.00946
2.125,19.5,28968,0.00324
2.125,23.0,25241,0.00130
2.125,27.5,12565,0.00029
2.175,3.85,1210,0.16143
2.175,4.6,4453,0.34904
2.175,5.5,8555,0.33057
2.175,6.5,11417,0.21730
2.175,7.5,13749,0.13997
2.175,8.5,15298,0.08777
2.175,10.0,32060,0.08938
2.175,12.0,31844,0.03734
2.175,14.0,29737,0.01661
2.175,16.5,37113,0.00947
2.175,19.5,28639,0.00331
2.175,23.0,25709,0.00133
2.175,27.5,12384,0.00029
2.225,3.25,1,0.00042
2.225,3.85,1316,0.18063
2.225,4.6,4632,0.36649
2.225,5.5,8632,0.34075
2.225,6.5,11559,0.22476
2.225,7.5,13936,0.14251
2.225,8.5,15241,0.08866
2.225,10.0,32546,0.09225
2.225,12.0,31768,0.03755
2.225,14.0,29132,0.01659
2.225,16.5,37180,0.00990
2.225,19.5,28798,0.00341
2.225,23.0,25626,0.00138
2.225,27.5,12022,0.00029
2.275,3.85,1397,0.19338
2.275,4.6,4709,0.38159
2.275,5.5,8756,0.33425
2.275,6.5,11705,0.22898
2.275,7.5,13969,0.14178
2.275,8.5,15484,0.09148
2.275,10.0,32466,0.09351
2.275,12.0,31511,0.03872
2.275,14.0,29234,0.01719
2.275,16.5,36776,0.01008
2.275,19.5,28420,0.00351
2.275,23.0,25348,0.00141
2.275,27.5,11903,0.00030
2.325,3.25,2,0.00012
2.325,3.85,1542,0.21230
2.325,4.6,4785,0.37563
2.325,5.5,8758,0.34325
2.325,6.5,11790,0.23969
2.325,7.5,13817,0.14658
2.325,8.5,15292,0.09203
2.325,10.0,32238,0.09530
2.325,12.0,31066,0.03879
2.325,14.0,28795,0.01741
2.325,16.5,36072,0.01028
2.325,19.5,28313,0.00357
2.325,23.0,25041,0.00147
2.325,27.5,11256,0.00029
2.375,3.25,11,0.00133
2.375,3.85,1643,0.22387
2.375,4.6,4944,0.39230
2.375,5.5,8792,0.33739
2.375,6.5,11771,0.23107
2.375,7.5,13759,0.14706
2.375,8.5,15341,0.09151
2.375,10.0,32268,0.09728
2.375,12.0,30985,0.03989
2.375,14.0,28342,0.01788
2.375,16.5,35570,0.01027
2.375,19.5,27842,0.00367
2.375,23.0,24259,0.00147
2.375,27.5,10779,0.00030
2.425,3.25,15,0.00384
2.425,3.85,1777,0.25233
2.425,4.6,4557,0.37846
2.425,5.5,8754,0.34523
2.425,6.5,11991,0.24280
2.425,7.5,13755,0.15008
2.425,8.5,15052,0.09429
2.425,10.0,31327,0.09663
2.425,12.0,30428,0.04058
2.425,14.0,27350,0.01752
2.425,16.5,34365,0.01019
2.425,19.5,26454,0.00347
2.425,23.0,22796,0.00139
2.425,27.5,9559,0.00026
