w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.4249999999999998,2.25,17325,4.62835,230,0.05087,0.00015,1.81107,1.37731,1.39677,2.49441,2.52965,0.02485,0.0252,0.01804
1.4249999999999998,2.75,17286,1.98222,381,0.04306,9e-05,1.24241,1.31071,1.29729,1.62844,1.61177,0.01603,0.01587,0.01223
1.4249999999999998,3.25,17266,0.96232,513,0.03411,6e-05,0.90355,1.25573,1.21703,1.13462,1.09965,0.01115,0.01081,0.00888
1.4249999999999998,3.75,17286,0.5011,648,0.02022,4e-05,0.67011,1.20923,1.15047,0.81032,0.77095,0.00799,0.0076,0.00661
1.4249999999999998,4.25,17291,0.28626,696,0.01112,3e-05,0.52589,1.16914,1.09409,0.61483,0.57536,0.00605,0.00566,0.00518
1.4249999999999998,4.75,17351,0.17008,752,0.00868,2e-05,0.41551,1.13406,1.04552,0.47121,0.43442,0.00463,0.00427,0.00408
1.4249999999999998,5.25,17508,0.10531,829,0.00561,2e-05,0.33219,1.10298,1.0031,0.3664,0.33322,0.00359,0.00326,0.00325
1.4249999999999998,5.75,17535,0.06819,857,0.00371,1e-05,0.27429,1.07516,0.96562,0.2949,0.26486,0.00285,0.00256,0.00265
1.4249999999999998,6.25,17210,0.04474,918,0.00258,1e-05,0.23023,1.05004,0.93219,0.24175,0.21462,0.00238,0.00211,0.00226
1.4249999999999998,6.75,17364,0.03049,954,0.00202,1e-05,0.19239,1.0272,0.90213,0.19762,0.17356,0.00194,0.00171,0.00189
1.4249999999999998,7.25,17626,0.02156,957,0.0014,1e-05,0.16373,1.00629,0.87489,0.16476,0.14325,0.0016,0.00139,0.00159
1.4249999999999998,7.75,17545,0.01529,933,0.00096,1e-05,0.14089,0.98704,0.85007,0.13907,0.11977,0.00135,0.00116,0.00137
1.4249999999999998,8.25,17402,0.01093,907,0.00072,1e-05,0.12148,0.96924,0.82732,0.11774,0.1005,0.00116,0.00099,0.0012
1.4249999999999998,8.75,17699,0.00825,896,0.00048,0.0,0.10687,0.9527,0.80637,0.10182,0.08618,0.001,0.00084,0.00105
1.4249999999999998,9.25,17508,0.00609,754,0.00034,0.0,0.0937,0.93728,0.78699,0.08783,0.07374,0.00085,0.00072,0.00091
1.4249999999999998,9.75,17438,0.0047,705,0.0003,0.0,0.0846,0.92284,0.76899,0.07807,0.06505,0.00077,0.00064,0.00083
1.4249999999999998,10.25,17802,0.00365,562,0.00024,0.0,0.07451,0.90929,0.75221,0.06775,0.05604,0.00066,0.00055,0.00073
1.4249999999999998,10.75,17499,0.00275,501,0.00019,0.0,0.06585,0.89652,0.73653,0.05904,0.0485,0.00058,0.00048,0.00065
1.475,2.25,17538,7.98129,265,0.12153,0.00016,2.80376,1.37731,1.39677,3.86166,3.91621,0.03723,0.03775,0.02703
1.475,2.75,17424,3.50468,500,0.1102,0.0001,1.9702,1.31071,1.29729,2.58235,2.55592,0.02487,0.02462,0.01897
1.475,3.25,17754,1.74542,668,0.07543,7e-05,1.43506,1.25573,1.21703,1.80204,1.7465,0.01709,0.01657,0.01361
1.475,3.75,17624,0.92906,810,0.04462,5e-05,1.09361,1.20923,1.15047,1.32242,1.25816,0.0126,0.01199,0.01042
1.475,4.25,17580,0.51836,916,0.03014,4e-05,0.83824,1.16914,1.09409,0.98002,0.91711,0.00939,0.00879,0.00803
1.475,4.75,17352,0.30883,939,0.01745,3e-05,0.67359,1.13406,1.04552,0.76389,0.70425,0.0073,0.00673,0.00644
1.475,5.25,17337,0.19349,987,0.01236,2e-05,0.54918,1.10298,1.0031,0.60573,0.55088,0.00578,0.00526,0.00524
1.475,5.75,17511,0.12701,1072,0.00838,2e-05,0.45497,1.07516,0.96562,0.48917,0.43933,0.00469,0.00421,0.00436
1.475,6.25,17534,0.08426,1093,0.00563,1e-05,0.37785,1.05004,0.93219,0.39676,0.35223,0.00379,0.00337,0.00361
