w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.4249999999999998,2.25,17325,0.00015,4.62835,1.81107,1.37731,1.39677,2.49441,2.52965,0.02485,0.02520,0.01804
1.4249999999999998,2.75,17286,0.00009,1.98222,1.24241,1.31071,1.29729,1.62844,1.61177,0.01603,0.01587,0.01223
1.4249999999999998,3.25,17266,0.00006,0.96232,0.90355,1.25573,1.21703,1.13462,1.09965,0.01115,0.01081,0.00888
1.4249999999999998,3.75,17286,0.00004,0.50110,0.67011,1.20923,1.15047,0.81032,0.77095,0.00799,0.00760,0.00661
1.4249999999999998,4.25,17291,0.00003,0.28626,0.52589,1.16914,1.09409,0.61483,0.57536,0.00605,0.00566,0.00518
1.4249999999999998,4.75,17351,0.00002,0.17008,0.41551,1.13406,1.04552,0.47121,0.43442,0.00463,0.00427,0.00408
1.4249999999999998,5.25,17508,0.00002,0.10531,0.33219,1.10298,1.00310,0.36640,0.33322,0.00359,0.00326,0.00325
1.4249999999999998,5.75,17535,0.00001,0.06819,0.27429,1.07516,0.96562,0.29490,0.26486,0.00285,0.00256,0.00265
1.4249999999999998,6.25,17210,0.00001,0.04474,0.23023,1.05004,0.93219,0.24175,0.21462,0.00238,0.00211,0.00226
1.4249999999999998,6.75,17364,0.00001,0.03049,0.19239,1.02720,0.90213,0.19762,0.17356,0.00194,0.00171,0.00189
1.4249999999999998,7.25,17626,0.00001,0.02156,0.16373,1.00629,0.87489,0.16476,0.14325,0.00160,0.00139,0.00159
1.4249999999999998,7.75,17545,0.00001,0.01529,0.14089,0.98704,0.85007,0.13907,0.11977,0.00135,0.00116,0.00137
1.4249999999999998,8.25,17402,0.00001,0.01093,0.12148,0.96924,0.82732,0.11774,0.10050,0.00116,0.00099,0.00120
1.4249999999999998,8.75,17699,0.00000,0.00825,0.10687,0.95270,0.80637,0.10182,0.08618,0.00100,0.00084,0.00105
1.4249999999999998,9.25,17508,0.00000,0.00609,0.09370,0.93728,0.78699,0.08783,0.07374,0.00085,0.00072,0.00091
1.4249999999999998,9.75,17438,0.00000,0.00470,0.08460,0.92284,0.76899,0.07807,0.06505,0.00077,0.00064,0.00083
1.4249999999999998,10.25,17802,0.00000,0.00365,0.07451,0.90929,0.75221,0.06775,0.05604,0.00066,0.00055,0.00073
1.4249999999999998,10.75,17499,0.00000,0.00275,0.06585,0.89652,0.73653,0.05904,0.04850,0.00058,0.00048,0.00065
1.475,2.25,17538,0.00016,7.98129,2.80376,1.37731,1.39677,3.86166,3.91621,0.03723,0.03775,0.02703
1.475,2.75,17424,0.00010,3.50468,1.97020,1.31071,1.29729,2.58235,2.55592,0.02487,0.02462,0.01897
1.475,3.25,17754,0.00007,1.74542,1.43506,1.25573,1.21703,1.80204,1.74650,0.01709,0.01657,0.01361
1.475,3.75,17624,0.00005,0.92906,1.09361,1.20923,1.15047,1.32242,1.25816,0.01260,0.01199,0.01042
1.475,4.25,17580,0.00004,0.51836,0.83824,1.16914,1.09409,0.98002,0.91711,0.00939,0.00879,0.00803
1.475,4.75,17352,0.00003,0.30883,0.67359,1.13406,1.04552,0.76389,0.70425,0.00730,0.00673,0.00644
1.475,5.25,17337,0.00002,0.19349,0.54918,1.10298,1.00310,0.60573,0.55088,0.00578,0.00526,0.00524
1.475,5.75,17511,0.00002,0.12701,0.45497,1.07516,0.96562,0.48917,0.43933,0.00469,0.00421,0.00436
1.475,6.25,17534,0.00001,0.08426,0.37785,1.05004,0.93219,0.39676,0.35223,0.00379,0.00337,0.00361
1.475,6.75,17509,0.00001,0.05871,0.32574,1.02720,0.90213,0.33460,0.29386,0.00320,0.00281,0.00311
1.475,7.25,17404,0.00001,0.04065,0.27686,1.00629,0.87489,0.27860,0.24222,0.00268,0.00233,0.00266
1.475,7.75,17578,0.00001,0.02948,0.23978,0.98704,0.85007,0.23668,0.20383,0.00226,0.00195,0.00229
1.475,8.25,17442,0.00001,0.02131,0.20866,0.96924,0.82732,0.20224,0.17263,0.00196,0.00167,0.00202
1.475,8.75,17577,0.00000,0.01596,0.18362,0.95270,0.80637,0.17493,0.14806,0.00168,0.00142,0.00176
1.475,9.25,17283,0.00000,0.01171,0.16082,0.93728,0.78699,0.15073,0.12656,0.00147,0.00123,0.00156
1.475,9.75,17685,0.00000,0.00921,0.14406,0.92284,0.76899,0.13294,0.11078,0.00128,0.00106,0.00138
1.475,10.25,17332,0.00000,0.00694,0.12820,0.90929,0.75221,0.11657,0.09643,0.00113,0.00094,0.00124
1.475,10.75,17477,0.00000,0.00543,0.11431,0.89652,0.73653,0.10248,0.08419,0.00100,0.00082,0.00111
1.525,2.25,17702,0.00018,10.70363,3.42556,1.37731,1.39677,4.71807,4.78472,0.04530,0.04594,0.03289
1.525,2.75,17754,0.00011,4.81895,2.43177,1.31071,1.29729,3.18733,3.15471,0.03057,0.03026,0.02332
1.525,3.25,17650,0.00008,2.36840,1.78412,1.25573,1.21703,2.24037,2.17133,0.02134,0.02068,0.01700
1.525,3.75,17316,0.00005,1.24094,1.34959,1.20923,1.15047,1.63196,1.55266,0.01569,0.01493,0.01298
1.525,4.25,17491,0.00004,0.71575,1.05306,1.16914,1.09409,1.23118,1.15214,0.01171,0.01095,0.01001
1.525,4.75,17815,0.00003,0.44342,0.85064,1.13406,1.04552,0.96468,0.88936,0.00912,0.00841,0.00805
1.525,5.25,17386,0.00002,0.27333,0.69709,1.10298,1.00310,0.76888,0.69925,0.00730,0.00664,0.00662
1.525,5.75,17411,0.00002,0.17580,0.56965,1.07516,0.96562,0.61246,0.55006,0.00583,0.00523,0.00542
1.525,6.25,17393,0.00001,0.11813,0.47952,1.05004,0.93219,0.50351,0.44700,0.00481,0.00427,0.00458
1.525,6.75,17625,0.00001,0.08207,0.40555,1.02720,0.90213,0.41658,0.36586,0.00392,0.00345,0.00382
1.525,7.25,17603,0.00001,0.05784,0.34866,1.00629,0.87489,0.35085,0.30504,0.00333,0.00290,0.00331
1.525,7.75,17527,0.00001,0.04105,0.29941,0.98704,0.85007,0.29553,0.25452,0.00280,0.00241,0.00283
1.525,8.25,17399,0.00001,0.03000,0.26293,0.96924,0.82732,0.25484,0.21753,0.00243,0.00207,0.00250
1.525,8.75,17506,0.00001,0.02251,0.23188,0.95270,0.80637,0.22091,0.18698,0.00209,0.00177,0.00220
1.525,9.25,17539,0.00000,0.01698,0.20472,0.93728,0.78699,0.19188,0.16111,0.00182,0.00153,0.00194
1.525,9.75,17609,0.00000,0.01309,0.18306,0.92284,0.76899,0.16893,0.14077,0.00159,0.00133,0.00172
1.525,10.25,17290,0.00000,0.00994,0.16369,0.90929,0.75221,0.14884,0.12313,0.00142,0.00117,0.00156
1.525,10.75,17694,0.00000,0.00798,0.14753,0.89652,0.73653,0.13227,0.10866,0.00125,0.00102,0.00139
1.5750000000000002,2.25,17399,0.00019,11.32295,3.42481,1.37731,1.39677,4.71704,4.78368,0.04628,0.04694,0.03360
1.5750000000000002,2.75,17258,0.00012,5.03556,2.41512,1.31071,1.29729,3.16550,3.13311,0.03113,0.03081,0.02375
1.5750000000000002,3.25,17289,0.00008,2.49865,1.76774,1.25573,1.21703,2.21980,2.15139,0.02166,0.02099,0.01725
1.5750000000000002,3.75,17560,0.00006,1.35369,1.33095,1.20923,1.15047,1.60942,1.53122,0.01551,0.01476,0.01283
1.5750000000000002,4.25,17534,0.00004,0.77752,1.04316,1.16914,1.09409,1.21960,1.14131,0.01178,0.01103,0.01008
1.5750000000000002,4.75,17503,0.00003,0.47882,0.85253,1.13406,1.04552,0.96682,0.89134,0.00932,0.00859,0.00822
1.5750000000000002,5.25,17328,0.00002,0.29297,0.68213,1.10298,1.00310,0.75237,0.68424,0.00726,0.00660,0.00658
1.5750000000000002,5.75,17366,0.00002,0.19300,0.56939,1.07516,0.96562,0.61219,0.54982,0.00591,0.00530,0.00549
