w_val_rec,q2_val_rec,rec_events,weight_rec
1.4249999999999998,2.25,230,0.05087
1.4249999999999998,2.75,381,0.04306
1.4249999999999998,3.25,513,0.03411
1.4249999999999998,3.75,648,0.02022
1.4249999999999998,4.25,696,0.01112
1.4249999999999998,4.75,752,0.00868
1.4249999999999998,5.25,829,0.00561
1.4249999999999998,5.75,857,0.00371
1.4249999999999998,6.25,918,0.00258
1.4249999999999998,6.75,954,0.00202
1.4249999999999998,7.25,957,0.00140
1.4249999999999998,7.75,933,0.00096
1.4249999999999998,8.25,907,0.00072
1.4249999999999998,8.75,896,0.00048
1.4249999999999998,9.25,754,0.00034
1.4249999999999998,9.75,705,0.00030
1.4249999999999998,10.25,562,0.00024
1.4249999999999998,10.75,501,0.00019
1.475,2.25,265,0.12153
1.475,2.75,500,0.11020
1.475,3.25,668,0.07543
1.475,3.75,810,0.04462
1.475,4.25,916,0.03014
1.475,4.75,939,0.01745
1.475,5.25,987,0.01236
1.475,5.75,1072,0.00838
1.475,6.25,1093,0.00563
1.475,6.75,1154,0.00461
1.475,7.25,1121,0.00296
1.475,7.75,1079,0.00202
1.475,8.25,945,0.00122
1.475,8.75,951,0.00091
1.475,9.25,847,0.00058
1.475,9.75,788,0.00047
1.475,10.25,675,0.00036
1.475,10.75,583,0.00022
1.525,2.25,365,0.22930
1.525,2.75,592,0.18063
1.525,3.25,772,0.11282
1.525,3.75,906,0.07514
1.525,4.25,1011,0.04578
1.525,4.75,1111,0.02910
1.525,5.25,1164,0.01930
1.525,5.75,1215,0.01313
1.525,6.25,1221,0.00890
1.525,6.75,1233,0.00621
1.525,7.25,1210,0.00426
1.525,7.75,1156,0.00271
1.525,8.25,1106,0.00188
1.525,8.75,1051,0.00139
1.525,9.25,964,0.00092
1.525,9.75,851,0.00062
1.525,10.25,733,0.00047
1.525,10.75,656,0.00031
1.5750000000000002,2.25,426,0.30359
1.5750000000000002,2.75,677,0.22296
1.5750000000000002,3.25,869,0.14202
1.5750000000000002,3.75,1001,0.09072
1.5750000000000002,4.25,1092,0.05401
1.5750000000000002,4.75,1185,0.03800
1.5750000000000002,5.25,1282,0.02473
1.5750000000000002,5.75,1283,0.01637
1.5750000000000002,6.25,1302,0.01122
1.5750000000000002,6.75,1351,0.00777
1.5750000000000002,7.25,1304,0.00519
1.5750000000000002,7.75,1281,0.00341
1.5750000000000002,8.25,1215,0.00255
1.5750000000000002,8.75,1119,0.00170
1.5750000000000002,9.25,1112,0.00134
1.5750000000000002,9.75,916,0.00084
1.5750000000000002,10.25,758,0.00061
1.5750000000000002,10.75,654,0.00038
1.625,2.25,500,0.40816
1.625,2.75,753,0.27479
1.625,3.25,1039,0.20161
1.625,3.75,1078,0.10932
1.625,4.25,1220,0.07142
1.625,4.75,1227,0.04417
1.625,5.25,1426,0.03203
1.625,5.75,1444,0.02089
1.625,6.25,1479,0.01465
1.625,6.75,1438,0.00994
1.625,7.25,1451,0.00677
1.625,7.75,1319,0.00459
1.625,8.25,1244,0.00299
1.625,8.75,1168,0.00221
1.625,9.25,1109,0.00161
1.625,9.75,934,0.00105
1.625,10.25,802,0.00077
1.625,10.75,747,0.00051
1.6749999999999998,2.25,554,0.54007
1.6749999999999998,2.75,870,0.40368
1.6749999999999998,3.25,1130,0.26062
1.6749999999999998,3.75,1220,0.15278
1.6749999999999998,4.25,1259,0.09206
1.6749999999999998,4.75,1391,0.06132
1.6749999999999998,5.25,1397,0.03921
1.6749999999999998,5.75,1533,0.03004
1.6749999999999998,6.25,1496,0.01861
1.6749999999999998,6.75,1483,0.01329
1.6749999999999998,7.25,1448,0.00925
1.6749999999999998,7.75,1419,0.00607
1.6749999999999998,8.25,1297,0.00420
1.6749999999999998,8.75,1240,0.00299
1.6749999999999998,9.25,1150,0.00195
1.6749999999999998,9.75,921,0.00135
1.6749999999999998,10.25,869,0.00102
1.6749999999999998,10.75,773,0.00062
1.725,2.25,657,0.72623
1.725,2.75,922,0.49926
1.725,3.25,1168,0.31716
1.725,3.75,1320,0.19893
1.725,4.25,1440,0.12952
1.725,4.75,1451,0.07564
1.725,5.25,1548,0.05390
1.725,5.75,1443,0.03284
1.725,6.25,1562,0.02459
1.725,6.75,1595,0.01700
1.725,7.25,1538,0.01136
1.725,7.75,1370,0.00726
1.725,8.25,1386,0.00523
1.725,8.75,1240,0.00351
1.725,9.25,1185,0.00257
1.725,9.75,1016,0.00166
1.725,10.25,879,0.00105
1.725,10.75,750,0.00072
1.775,2.25,694,0.73093
1.775,2.75,996,0.52653
1.775,3.25,1190,0.32562
1.775,3.75,1324,0.19605
1.775,4.25,1485,0.13006
1.775,4.75,1477,0.07759
1.775,5.25,1666,0.05608
1.775,5.75,1652,0.03706
1.775,6.25,1721,0.02627
1.775,6.75,1594,0.01697
1.775,7.25,1578,0.01228
1.775,7.75,1447,0.00799
1.775,8.25,1379,0.00551
1.775,8.75,1367,0.00402
1.775,9.25,1196,0.00265
1.775,9.75,1005,0.00168
1.775,10.25,878,0.00121
